province;red;green;blue;x;x
279;47;90;106;Bandobene;x
280;155;23;94;Tazora;x
281;48;45;85;Pharsaga;x
282;43;69;201;Artoata;x
283;68;46;113;Sogdorum Regia;x
284;96;39;39;Gynaikon Limen;x
285;34;43;154;Automula;x
286;67;151;179;Patala;x
287;224;35;218;Naagramma;x
288;67;47;114;Mallorum;x
289;131;24;52;Asibipura;x
290;86;24;40;Boukephala;x
291;239;94;234;Attock;x
292;43;178;65;Taxila;x
293;84;74;107;Bylazora;x
294;113;114;124;Ainos;x
295;74;133;168;Bizye;x
296;165;38;70;Bergoule;x
297;110;160;211;Mesembria;x
298;209;87;85;Bourdepa;x
299;185;80;206;Pistoros;x
300;102;169;99;Lilybaeum;x
301;194;110;140;Segesta;x
302;135;51;214;Selinus;x
303;194;133;31;Himera;x
304;194;31;31;Gela;x
305;92;31;31;Syracuse;x
306;92;145;84;Catana;x
307;107;143;173;Messana;x
308;70;99;65;Rhegium;x
309;48;120;133;Terina;x
310;133;114;48;Croton;x
311;48;56;133;Thurii;x
312;133;48;126;Heracleia;x
313;145;34;34;Elea;x
314;183;187;84;Metapontum;x
315;35;187;117;Canusium;x
316;64;73;140;Arpi;x
317;194;5;22;Tarentum;x
318;221;76;90;Brundisium;x
319;132;135;54;Irna;x
320;116;111;192;Neapolis;x
321;172;169;217;Capua;x
322;188;146;193;Terracina;x
323;136;114;148;Antium;x
324;56;20;76;Roma;x
325;206;71;222;Venusia;x
326;102;69;106;Beneventum;x
327;73;18;112;Bovianum;x
328;115;43;124;Sulmo;x
329;148;54;213;Asculum;x
330;141;59;59;Ancona;x
331;117;47;22;Amiternum;x
332;184;32;32;Spoletium;x
333;232;127;127;Iguvium;x
334;217;42;42;Sarsina;x
335;55;92;96;Veii;x
336;38;185;202;Tarquinii;x
337;125;213;223;Arretium;x
338;110;130;170;Vetulonia;x
339;13;47;114;Pisae;x
340;113;148;123;Luna;x
341;18;76;35;Albingaunum;x
342;116;205;143;Vardagate;x
343;56;129;54;Taurasia;x
344;97;117;63;Vercellae;x
345;122;165;49;Mediolanum;x
346;76;114;12;Brixia;x
347;32;91;43;Verona;x
348;19;155;45;Patavium;x
349;95;207;116;Altinum;x
350;164;95;207;Aleria;x
351;98;30;141;Palla;x
352;65;71;159;Olbia Sardinia;x
353;4;17;195;Tharros;x
354;27;39;197;Caralis;x
355;21;37;71;Placentia;x
356;55;147;177;Parma;x
357;123;165;179;Bononia;x
358;42;119;144;Ravenna;x
359;93;75;41;Utica;x
360;192;133;22;Carthage;x
361;213;182;124;Thapsus;x
362;124;213;200;Thaenae;x
363;92;169;143;Thala;x
364;228;204;158;Thizika;x
365;46;142;93;Thabraca;x
366;63;222;141;Hippo;x
367;24;102;62;Igilgili;x
368;20;55;37;Rusazus;x
369;92;22;163;Tubusuctu;x
370;95;78;112;Satafis;x
371;110;45;176;Cirta;x
372;158;76;76;Thagaste;x
373;186;42;203;Zabi;x
374;139;69;147;Thubunae;x
375;152;114;191;Thabudeos;x
376;116;19;19;Theveste;x
377;81;51;37;Capsa;x
378;89;136;129;Meninx;x
379;25;147;128;Oea;x
380;96;116;113;Lepcis Magna;x
381;96;219;200;Euphranta;x
382;31;200;174;Automalax;x
383;78;227;32;Montana;x
384;17;158;170;Naissus;x
385;29;106;31;Scupi;x
386;95;121;64;Sirmium;x
387;187;220;148;Cibalae;x
389;137;205;104;Malvesia;x
390;64;118;69;Sopianae;x
391;30;142;41;Tricciana;x
392;62;216;76;Scarbantia;x
393;228;70;98;Virunum;x
394;150;38;57;Emona;x
395;54;135;147;Segestica;x
396;21;159;179;Splonum;x
397;99;147;127;Senia;x
398;30;153;102;Ortopla;x
399;75;123;18;Pharos;x
400;174;112;123;Salona;x
401;103;63;32;Arcidava;x
402;80;30;30;Dierna;x
403;178;98;98;Pelendava;x
404;224;12;12;Popesti;x
405;156;48;48;Bucuresti;x
406;184;114;57;Banita;x
407;119;59;10;Buridava;x
408;98;106;47;Sarmizegetusa;x
409;36;193;24;Apulum;x
410;101;231;91;Surcea;x
411;36;126;29;Potaissa;x
412;147;226;177;Napoca;x
413;35;132;156;Germisara;x
414;210;160;7;Cotnari;x
415;164;134;41;Poroboridava;x
416;187;59;59;Antipolis;x
417;163;33;33;Massilia;x
418;120;20;20;Arelate;x
419;171;74;191;Luceria;x
420;145;168;75;Eturamina;x
421;110;123;71;Eburodunum;x
422;130;169;11;Arausio;x
423;199;220;135;Segustero;x
424;32;77;147;Valentia;x
426;113;150;206;Brigantio;x
#427;26;88;103;Lugdunum;x
#429;92;130;139;Andematunnum;x
430;39;41;134;Augusta Praetorium;x
431;97;99;176;Genava;x
432;164;120;214;Aventicum;x
#433;16;18;88;Vesontio;x
#434;54;147;190;Luxovium;x
435;95;26;173;Arae Flaviae;x
436;65;32;101;Cambodunum;x
437;74;78;106;Iuvavum;x
438;82;89;153;Ovilava;x
439;241;212;14;Pselchis;x
440;134;123;47;Pachoras;x
441;190;167;10;Pdeme;x
442;104;132;6;Patinga;x
443;81;101;11;Napata;x
444;28;127;40;Meroe;x
445;61;61;126;Modiana;x
446;116;125;194;Dedan;x
447;150;159;227;Ausara;x
448;53;132;188;Alouare;x
449;93;158;203;Macoraba;x
450;48;135;164;Thomala;x
451;89;173;200;Anagrana;x
452;82;121;133;Akme;x
453;47;141;147;Akila;x
454;132;167;169;Adane;x
455;119;181;200;Saraka;x
456;77;196;232;Raida;x
457;24;117;122;Tamna;x
458;39;91;154;Saba;x
459;101;128;161;Karna;x
460;174;124;197;Sabatha;x
461;138;144;198;Tretos;x
462;152;49;200;Thialemath;x
463;123;91;138;Neogilla;x
464;209;44;192;Hadramaut;x
465;188;183;220;Abyssa;x
466;107;109;127;Thabanne;x
467;237;100;187;Lala;x
468;173;41;84;Omanum;x
469;117;128;217;Chabuata;x
470;40;134;165;Cabana;x
471;68;114;129;Omana;x
472;113;179;141;Gerrha;x
473;60;213;125;Adari;x
474;179;176;107;Chersonesos;x
475;108;182;100;Gorgippia;x
476;48;79;45;Pityous;x
477;130;105;29;Agaraskapa;x
478;118;152;44;Bagaporata;x
479;59;72;31;Madupa;x
480;28;77;22;Syavaporata;x
481;22;118;90;Katipa;x
482;40;222;17;Scythian Neapolis;x
483;20;115;51;Arunca;x
484;24;94;74;Katarun;x
485;89;114;86;Satiporata;x
486;112;161;147;Xessagarpa;x
487;37;153;119;Rasin;x
488;97;207;175;Blamizda;x
489;57;190;191;Payporata;x
490;76;79;92;Katipanti;x
491;16;34;101;Ugrakus;x
492;78;132;205;Paraporatapanti;x
493;54;95;152;Upanti;x
494;118;152;197;Kissarlewle;x
495;57;86;195;Scodizdaronma;x
496;23;27;42;Kusdvara;x
497;14;35;116;Varkataka;x
498;28;113;229;Kusporata;x
499;44;70;104;Vaskila;x
500;47;55;86;Brinvaski;x
501;66;77;117;Zevaka;x
502;24;70;133;Madulupa;x
503;11;24;73;Aribla;x
504;44;58;111;Leipca;x
505;29;94;182;Hurkutipa;x
506;35;46;87;Lipsoxais;x
507;21;16;97;Abralu;x
508;58;46;213;Lopa;x
509;40;34;124;Alud;x
510;76;51;134;Agarmadupa;x
511;99;75;152;Adapa;x
512;83;46;169;Dapanti;x
513;93;43;205;Argimpasa;x
514;46;33;226;Arungasti;x
515;29;18;166;Bagabala;x
516;50;44;139;Dargakala;x
517;74;86;132;Arparadata;x
518;183;101;203;Kissarun;x
519;73;28;84;Bagia;x
520;96;77;101;Gipa;x
521;134;114;139;Astakol;x
522;167;127;177;Madula;x
523;200;173;207;Paradatapa;x
524;126;42;147;Manur;x
525;114;60;128;Badyasko;x
526;144;64;164;Hvarzkutipa;x
527;160;31;192;Naradvara;x
528;177;102;195;Boradvara;x
529;151;62;173;Syavakuspa;x
530;179;76;205;Brinar;x
531;189;44;44;Navasati;x
532;234;31;31;Poratamata;x
533;118;15;15;Colaxais;x
534;74;33;33;Garia;x
535;93;65;65;Borapanti;x
536;81;16;16;Poratapanti;x
537;200;60;60;Dakus;x
538;125;80;80;Oirpata;x
539;186;98;98;Syavaparupa;x
540;177;107;120;Dargaku;x
541;140;9;34;Frilewle;x
542;72;24;34;Amapa;x
543;176;57;80;Pantilo;x
544;128;60;73;Garta;x
545;166;23;51;Tamapa;x
546;231;43;79;Gaumizda;x
547;176;121;131;Oitosyros;x
548;135;22;22;Sinua;x
549;219;85;85;Paradatab;x
550;111;51;51;Gastia;x
551;138;38;38;Zaranapa;x
552;209;91;91;Gisati;x
553;221;69;98;Karsapa;x
554;153;35;58;Hurka;x
555;112;40;17;Garuabra;x
556;123;45;20;Hvarzgasti;x
557;188;66;27;Syavavarkapa;x
558;234;178;161;Hurmizda;x
559;218;123;93;Pasumata;x
560;195;59;17;Borun;x
561;219;91;52;Daranpa;x
562;131;82;66;Zarkarun;x
563;100;51;35;Karsapatak;x
564;107;56;39;Satapada;x
565;198;195;94;Giarun;x
566;167;165;102;Kusgau;x
567;81;80;41;Artabagapa;x
568;145;142;43;Narapa;x
569;218;213;46;Katipatak;x
570;226;221;74;Zurklopa;x
571;203;201;137;Kutipanti;x
572;143;139;25;Sautaska;x
573;149;165;84;Novae;x
574;133;136;163;Oescus;x
575;95;51;91;Mahta;x
576;181;43;169;Dranpa;x
577;119;50;113;Navia;x
578;61;18;57;Syavasin;x
579;217;168;213;Abragaru;x
580;162;41;152;Matapanti;x
581;228;87;217;Khiva;x
582;204;50;192;Satakata;x
583;118;73;114;Pasuporata;x
584;118;139;138;Navapa;x
585;161;194;193;Aspamesakapa;x
586;114;213;210;Thagimasadas;x
587;58;161;157;Satagau;x
588;83;151;148;Agarur;x
589;107;135;134;Tabar;x
590;99;111;110;Syrmizda;x
591;64;97;96;Kutifriarpa;x
592;105;180;177;Takati;x
593;123;218;214;Tabititope;x
594;29;112;108;Astaku;x
595;19;102;98;Tabsyr;x
596;32;150;145;Dranshatipa;x
597;68;171;167;Tamajara;x
598;22;74;72;Tadvara;x
599;84;203;198;Padakus;x
600;59;161;157;Takuti;x
601;72;106;105;Xola-Xayasa;x
602;72;186;182;Axsainabaladapa;x
603;48;97;95;Ugravarka;x
604;42;101;98;Gaukuti;x
605;85;133;93;Tama;x
606;48;135;63;Lipa;x
607;59;98;66;Satar;x
608;23;67;31;Gitab;x
609;96;170;109;Pantipari;x
610;143;223;156;Dsargalapa;x
611;81;179;98;Navapada;x
612;112;155;119;Hursyr;x
613;10;84;23;Ris;x
614;133;214;147;Banubalapa;x
615;63;175;82;Lobrata;x
616;72;183;91;Hvargaosa;x
617;116;208;132;Kissarvadasz;x
618;31;148;51;Ugraporata;x
619;131;62;62;Kataki;x
620;190;186;66;Bagagasti;x
621;183;131;178;Targitaios;x
622;175;128;171;Garagaupa;x
623;46;140;136;Karsabaga;x
624;49;105;58;Ugrakati;x
625;190;177;199;Trikka;x
626;169;175;135;Magnesia;x
627;211;178;136;Pieria;x
628;185;133;65;Crestonia;x
629;174;119;214;Trachis;x
630;150;106;164;Poteidaia;x
631;106;106;200;Torone;x
632;148;219;206;Apollonia;x
633;127;122;187;Crenides;x
634;39;53;52;Oraion;x
635;58;124;122;Zervae;x
636;123;138;104;Serdica;x
637;106;150;164;Thracian Chersonese;x
638;167;212;163;Kabyle;x
639;58;58;124;Beroe;x
640;211;231;208;Durostorum;x
641;122;133;132;Karkine;x
642;123;145;120;Azara;x
643;171;180;97;Kashkar;x
644;38;113;32;Genoa;x
645;127;188;68;Eporedia;x
646;68;188;130;Augusta Taurinorum;x
647;141;231;156;Cularo;x
648;46;95;151;Octodurus;x
649;99;152;211;Darantasia;x
650;144;53;197;Durotincum;x
651;185;75;116;Clunia;x
652;85;140;139;Curia;x
653;90;166;165;Bellunum;x
654;24;152;99;Aguntum;x
655;89;140;119;Tridentium;x
656;88;76;200;Scarbia;x
657;112;150;46;Mastiacum;x
658;132;110;196;Mahatitta;x
659;64;134;167;Mihintale;x
660;55;79;91;Anuradhapura;x
661;59;159;148;Lankapuri;x
662;48;129;120;Odoka;x
663;130;186;180;Katharagama;x
664;97;57;209;Mahiyangama;x
665;148;56;212;Kaverapuri;x
666;106;58;140;Madura;x
667;74;78;131;Srirangam;x
668;64;71;155;Satyaputra;x
669;51;27;68;Mahishapuri;x
670;124;173;210;Mohodayapur;x
671;11;112;42;Syanantapur;x
672;85;166;110;Kumari;x
673;44;112;11;Rajapuri;x
674;187;62;142;Podouke;x
675;204;131;178;Kanchipura;x
676;195;52;99;Kalahasti;x
677;151;113;157;Yashwantpur;x
678;173;62;189;Tennagora;x
679;45;85;116;Sauparnike;x
680;167;37;179;Gokarna;x
681;24;165;27;Gomantaka;x
682;127;117;201;Taiakata;x
683;197;56;209;Kolhapuri;x
684;120;59;126;Nrirgunta;x
685;56;51;94;Kishkindha;x
686;79;155;211;Kalligeris;x
687;49;82;123;Ahobhilam;x
688;29;67;114;Kantakossyla;x
689;55;129;140;Kannagara;x
690;51;147;161;Nanigaina;x
691;24;184;207;Korounkala;x
692;114;214;228;Pistapura;x
693;114;228;136;Sabara;x
694;122;153;28;Nastullapur;x
695;51;179;75;Kalingapur;x
696;141;154;101;Asuraghata;x
697;53;185;78;Arkapuri;x
698;64;111;73;Rajapura;x
699;80;111;64;Uttara Osali;x
700;69;151;29;Bamanghati;x
701;43;70;51;Sada;x
702;127;190;146;Dantapura;x
703;56;126;77;Chandrakata;x
704;127;172;190;Tamralipti;x
705;55;129;159;Aganagara;x
706;65;157;187;Paundra;x
707;98;139;137;Balipura;x
708;104;210;204;Devaprastha;x
709;81;179;220;Modagiri;x
710;23;155;210;Mithila;x
711;23;210;199;Sankasya;x
712;155;162;220;Kapilayastu;x
713;75;80;122;Gopala Kaksha;x
714;26;40;143;Nepalakaksha;x
715;34;53;193;Alaka;x
716;112;124;216;Kinnara;x
717;181;107;208;Navadwipa;x
718;108;31;137;Dandakabhukt;x
719;169;62;208;Pataliputra;x
720;159;22;112;Asura;x
721;74;119;134;Rohitaswa;x
722;195;121;198;Hammeum;x
723;196;66;75;Agruvium;x
724;41;162;201;Asthagoura;x
725;112;87;122;Kusavati;x
726;132;55;161;Sringivera;x
727;181;100;210;Ayodhya;x
728;143;44;140;Surashtra;x
729;206;61;202;Bhrigukaksha;x
730;205;113;202;Dwaraka;x
731;137;95;200;Sankodara;x
732;198;120;196;Prabbasa;x
733;237;45;232;Sarmista;x
734;140;82;139;Ekalavya;x
735;77;42;76;Pushara;x
736;42;47;77;Matsya Puri;x
737;113;119;155;Mathura;x
738;123;176;181;Indraprastha;x
739;59;119;124;Manusa;x
740;164;225;230;Karavapana;x
741;113;182;123;Dwaita;x
742;55;113;63;Vinasana;x
743;228;139;226;Mandapura;x
744;61;167;76;Kanjakubja;x
745;133;199;142;Vrukastali;x
746;27;235;56;Hastinapura;x
747;90;147;62;Paramana Koti;x
748;133;185;108;Haridwara;x
749;196;226;181;Aninacha;x
750;86;113;72;Ahichatra;x
751;21;41;11;Laharpur;x
752;147;31;94;Vitabhya;x
753;18;170;220;Gargasrota;x
754;48;118;58;Sapta Saraswati;x
755;146;90;105;Singhapura;x
756;219;85;120;Rajavasa;x
757;157;142;191;Viswagaswa;x
758;138;215;99;Vipasa;x
759;76;182;191;Prasthala;x
760;123;181;131;Viratapuri;x
761;25;88;8;Semylla;x
762;89;175;66;Matanga;x
763;71;221;30;Agastyavati;x
764;214;123;146;Balistali;x
765;107;86;92;Pratisthana;x
766;58;150;121;Janasthana;x
767;33;168;125;Panchavati;x
768;60;149;121;Surpana;x
769;132;194;175;Lava;x
770;63;162;131;Madhyamika;x
771;140;205;185;Bhojapuri;x
772;112;138;130;Ujjayani;x
773;116;191;167;Mahishmati;x
774;72;211;167;Bhokardan;x
775;52;110;92;Bhojakata;x
776;101;130;121;Siripalla;x
777;11;158;111;Visnapuri;x
778;27;81;64;Kognabanda;x
779;59;117;98;Dantipura;x
780;58;156;125;Savira;x
781;17;73;25;Kausambi;x
782;61;137;113;Suktivati;x
783;175;234;215;Mirzapur;x
784;234;175;190;Amarakandaka;x
785;101;199;168;Sarabhanga;x
786;82;225;180;Sripura;x
787;92;157;136;Kundinapuri;x
788;176;31;69;Sisupalgarh;x
789;220;94;127;Sabara Maharashtri;x
790;205;126;147;Bilaspur;x
791;34;92;74;Kapisa;x
792;135;191;174;Yavana;x
793;39;117;93;Avisari;x
794;56;189;148;Sringara;x
795;68;171;140;Loha;x
796;132;201;180;Skardu;x
797;83;220;176;Lithinos;x
798;26;23;196;Diluntum;x
799;184;196;117;Narona;x
800;193;34;58;Baloia;x
801;124;167;193;Urbate;x
802;204;91;174;Salinae;x
803;62;140;51;Romuliana;x
804;140;29;29;Viminacium;x
805;39;83;140;Domavium;x
806;100;122;98;Sacidava;x
807;108;174;120;Zurobara;x
808;91;227;114;Partiskon;x
809;52;163;71;Singidava;x
810;112;150;118;Porolissum;x
811;228;148;221;Trybactra;x
812;32;169;56;Curianda;x
813;13;215;48;Charracarta;x
814;47;175;69;Aratha;x
815;113;161;198;Artacoana;x
816;50;138;205;Chaurina;x
817;16;95;155;Parsia;x
818;61;203;159;Carura;x
819;71;137;117;Prophtasia;x
820;60;209;163;Shahristan;x
821;14;105;77;Zranka;x
822;61;55;139;Arachotoi;x
823;125;137;209;Bithynion;x
824;101;110;134;Pelopia;x
825;156;175;224;Erythrai;x
826;220;68;94;Nysa;x
827;102;77;81;Saittai;x
828;139;89;202;Knidos;x
829;47;201;77;Attouda;x
830;181;121;121;Myra;x
831;198;25;25;Oenoanda;x
832;71;88;130;Perge;x
833;228;174;174;Pappa;x
834;122;204;98;Amblada;x
835;173;146;190;Garsaura;x
836;126;120;130;Derbe;x
837;87;103;221;Aizanoi;x
838;176;139;194;Kimiatene;x
839;222;223;132;Zela;x
840;172;172;149;Euaissa;x
841;142;210;109;Nyssa;x
842;62;104;41;Gauraina;x
843;202;124;134;Antinoopolis;x
844;206;159;205;Diospolis Mikra;x
845;100;200;196;Eileithiopolis;x
846;5;35;43;Rusguniae;x
847;45;15;106;Rapidum;x
848;178;43;151;Uzinaza;x
849;36;29;35;Columnata;x
850;55;46;75;Mina;x
851;86;34;190;Tigava;x
852;64;184;219;Iol;x
853;143;194;209;Gunugu;x
854;11;110;138;Cartenna;x
855;100;54;195;Arsennaria;x
856;182;163;219;Regiae;x
857;96;31;228;Tigit;x
858;85;62;132;Siga;x
859;183;68;216;Lemnis;x
860;82;222;150;Rusaddir;x
861;88;23;221;Cobueta;x
862;24;97;9;Tingi;x
863;77;220;48;Lixus;x
864;203;122;187;Banasa;x
865;101;80;107;Sala;x
866;68;51;105;Volubis;x
867;99;81;136;Galapha;x
868;255;0;0;Tillibari;x
869;127;0;0;Thenetos;x
870;255;106;0;Cidamus;x
871;127;51;0;Kissan;x
872;255;216;0;Dedris;x
873;91;127;0;Garama;x
874;182;255;0;Traghen;x
875;127;106;0;Sabae;x
876;76;255;0;Baracum;x
877;0;255;144;Waddan;x
878;0;38;255;Marada;x
879;0;19;127;Augila;x
880;255;0;220;Ammon;x
881;127;0;55;Klimax;x
882;0;74;127;Oasis Parva;x
883;87;0;127;Oasis Trinitheos;x
